id,saleprice
2658,172136.0606258703
2718,200274.3028338878
2414,214021.07368024357
1989,111487.86509520354
625,178247.34699146257
333,85194.91899655265
1327,96798.81824113717
858,140910.49763638343
95,212720.66234209208
1568,173866.75456697878
2482,174076.94392950425
1364,131421.77435634413
2584,174429.8818336884
818,281386.6848192325
2673,164477.04336623836
2089,111770.3438784586
1297,176511.57091378147
790,124953.68364185106
2616,191066.2584966707
720,207747.64633993752
222,123524.69656285283
557,128387.61127463158
1148,202225.56625797815
2766,171303.24414237007
534,209136.04260646022
1452,115325.47738868871
630,115044.73842249176
2648,114052.43808413122
125,151701.80190161237
1904,21615.848405537763
1670,105552.5202599742
756,94257.70868404792
717,239498.5691644154
1032,142744.11932653468
852,227623.9335380189
1731,207228.6679749979
2639,103764.46159779013
2071,77824.9822314911
1267,99964.46266107907
1851,214517.11948936974
567,165367.89557210004
2439,226120.56823693443
1898,146484.39506589028
647,138638.57784892156
2256,210700.89926458837
979,83427.52151588438
1444,229332.17319646716
2485,115798.61190169177
157,109830.17624589088
88,121054.38274325451
2003,112950.91830320511
186,218699.19052003446
1425,269530.9974597912
2695,121659.69292049596
738,98753.34141803416
395,152063.69709633442
1353,187345.277276674
1878,143005.40001087607
390,194552.86308215058
1456,242180.83034994738
1103,296577.46021241357
1387,126454.48552782781
2070,136439.35975701598
1199,208269.1191603025
2479,181949.65752412513
501,291785.3021027863
2362,78625.77758460317
1718,186044.73772656027
2188,25503.684282306553
1483,148541.71545892517
2557,71192.17923871533
437,314839.23764757736
2224,211705.3586527711
1628,192624.6735167229
397,127275.85139006414
587,209069.50829639006
971,150578.67874909428
2611,155369.90358456183
1887,93515.24635596143
2399,308018.1148005947
2148,220161.6268576497
304,139015.89174611535
1997,112954.64456060115
2817,100477.89298658163
1431,196000.37071879557
427,322633.04296570393
263,121206.02032627363
598,182938.58580547286
2895,261038.4514452527
687,167252.3803056481
1822,117699.13660966634
2191,91793.1275838929
179,136569.04464690213
1009,215907.106085482
2010,112034.8205720576
1991,157934.37479416153
1411,152153.28333549772
1721,249741.40201746678
1144,196600.96933999128
593,237890.31337408407
575,260970.3010046041
1249,192797.55684366895
1604,118539.14839630609
1064,371384.1935963102
1923,163144.9669576955
1988,83582.5087042244
2325,174659.51401657372
114,220213.7166791589
2700,217710.78803991817
217,140744.65428560547
343,186254.98393789766
386,252853.38779866206
2005,96333.34303990076
2908,144227.86721907454
1814,229736.1139275157
2446,437492.35228800983
208,133121.00932869152
1679,126187.14987819592
822,300659.4901826493
6,189086.8619652538
1781,351999.2619261551
2397,272231.6590935209
2340,283229.43676029623
1618,182995.78899117297
2843,130944.81827068329
1061,328415.9472375237
2786,116469.58282051285
1935,115506.26912464367
