id,saleprice
2658,155900.0275397418
2718,180083.09573343364
2414,210779.17281040267
1989,115862.71259448049
625,183175.98237023453
333,68336.33096610889
1327,107274.38051566933
858,149165.4892241592
95,194389.35425968622
1568,180255.85566478412
2482,161723.9485753691
1364,135310.11358065545
2584,178330.05489031275
818,269099.1206037713
2673,171037.95326129036
2089,139063.5666153402
1297,167906.20797715135
790,121502.82586692722
2616,209249.09344850716
720,193873.9010583867
222,141200.53592230324
557,124765.02577930415
1148,209198.3045168566
2766,162795.0183800731
534,205547.48708832098
1452,114042.07351599404
630,124449.5952826241
2648,111659.18881086187
125,154505.61808384015
1904,23735.506442235433
1670,104958.55360691046
756,91917.47384820835
717,243289.9230850767
1032,159752.55712443075
852,232663.37010811575
1731,205783.3656733232
2639,103178.83574279197
2071,92872.74748164747
1267,112568.29520817957
1851,221480.11496748336
567,147048.21453566485
2439,235848.5129285617
1898,155672.8732995343
647,155150.00945945518
2256,207622.79365050173
979,84121.27568244893
1444,237958.64525973875
2485,115108.21704531647
157,117883.47590003448
88,119024.8994864334
2003,98431.18095152284
186,217551.68538302914
1425,273742.88126941666
2695,120056.65028097623
738,97309.46406063306
395,158297.34587017997
1353,182830.88758754035
1878,161685.81080183605
390,198136.39955645436
1456,240829.76443541414
1103,299236.9964798385
1387,115302.83914106843
2070,141363.02669737468
1199,194414.29121716248
2479,173967.7022724472
501,304804.9876702875
2362,79385.66768399844
1718,190486.81868032276
2188,38361.76072746905
1483,147983.58958393903
2557,79587.60415030867
437,308200.69846376916
2224,209199.09559518078
1628,207248.7015611572
397,125399.42456759169
587,212018.38250088427
971,175456.70818649294
2611,161646.37789199318
1887,97874.713485641
2399,318132.5132895723
2148,226689.970547336
304,132044.40078872905
1997,122350.66893956315
2817,88424.87261257856
1431,187189.76495174257
427,334043.1389159368
263,119335.21496672172
598,192424.07872258578
2895,261305.9298809859
687,164126.1315034307
1822,125640.31833288237
2191,78833.90021151595
179,132336.00157478204
1009,220858.45210329673
2010,110983.58945775701
1991,164601.81240215976
1411,158691.32923525336
1721,241048.7377613363
1144,188254.82664069094
593,226649.58269479653
575,271026.26418089436
1249,201435.21716454954
1604,128638.90482125999
1064,294011.7133135579
1923,167049.63837382392
1988,94102.53296871047
2325,185934.17384456363
114,214241.5942565005
2700,194387.97627122482
217,121993.84654171194
343,191603.77021064403
386,261169.9132492624
2005,114578.110261249
2908,141800.91769028179
1814,232742.149335949
2446,436567.8834392092
208,141402.059655698
1679,108452.76066312168
822,302717.87556446786
6,188465.08535397777
1781,351380.4800195849
2397,269863.65656779695
2340,276536.1220935745
1618,171141.18526854526
2843,162563.6868220636
1061,323544.96325856156
2786,114397.25227511983
1935,122357.41543322447
1341,111707.25400649916
521,306937.08544630324
2136,129160.53058831784
996,190579.44498629225
227,144210.52430679507
135,176687.89935386178
1167,151758.58209017574
294,224761.28660890643
1776,217394.6161579476
540,210388.1504507702
1717,190485.1506335342
2303,116456.64346623444
116,199161.26540639283
127,124874.80716354927
1371,131590.38079926488
1014,203251.73702994714
1507,90920.58517253937
702,133397.6070906835
750,165592.35062508358
261,149962.72291970285
1559,49543.7096965175
577,230929.47921417878
2812,215050.8909834602
2080,158500.40021527835
1368,113158.69510574566
2376,128866.2539054864
659,95013.24163359927
1235,118154.72710201805
332,56332.6835491895
1917,144073.5128123076
2094,254291.1825787522
1460,295753.65654110094
1471,217062.61810618112
1509,115603.05116595837
1922,126892.95666069648
433,383283.87684387434
460,259536.45264587746
1116,267024.28434690693
1137,189131.94312220186
53,178534.56741718776
2354,264265.50692732923
1475,215100.58603640125
1761,382823.597889583
842,146719.5938049033
2739,168996.2337205326
2509,160286.10881109143
1007,229863.26022656626
2610,190202.54571959164
1952,74210.75612997712
2719,177982.70303310166
2921,69204.36789038274
1966,132823.98519132714
292,132480.75418069205
1204,216719.38110236093
1829,251335.80702552715
2419,195707.95279975006
391,180754.2413349664
798,133641.99320300447
481,201596.1745102974
193,196945.51166105267
555,120673.62436999034
899,64289.13176155163
2357,206777.17898768393
328,105039.2415669807
1356,119978.19950522488
1154,106504.80451645987
1730,191950.19084695654
2249,162720.82135642364
1119,276353.2193479099
2856,138189.73495346875
1394,146257.71263441074
2587,120026.19889313582
61,310709.8257621045
2661,190351.69274084832
2711,130601.64727074414
1147,182535.00901597211
757,131555.24076247727
2623,84703.92215093973
2378,149713.13059314483
1413,145031.00472617502
1722,230187.05149093506
1112,221270.71463637662
1623,203796.32569255118
1201,194608.18634271357
1513,83933.9763995003
957,419407.7104424769
1171,268300.72209842806
1145,204473.19028070613
2726,245446.78705150602
703,169176.04790855452
760,72938.73245397597
1964,127591.57930325586
2512,177422.44116778686
159,147604.4386726114
1281,180320.95389120778
468,185579.9527850454
290,142202.76536417633
665,100186.27211183516
1463,285375.77924030705
1792,228810.29656640426
923,138919.25521125822
500,278287.50436205964
1408,158735.80411059855
331,53788.34198972522
170,109310.75636498487
2192,89936.14888164276
2571,240635.84972980586
2314,190601.3043430091
2647,96580.55399301561
422,343089.1065704728
2457,334147.7689163706
1838,214577.22370036689
2805,268315.617787994
1645,176275.71463317852
1711,296886.0802407587
2825,265299.4890829668
322,328989.1444375834
2103,277341.3481409388
342,140319.18828240057
600,100226.09989580349
488,198681.2419446558
1725,290445.3759553123
2246,255313.00163584304
2847,155098.49893309476
806,254684.91092864054
530,252797.0005839221
963,198932.0104868495
2678,49693.99173589211
171,60134.64514727355
2401,355283.9229886002
805,234951.72205033983
2259,233844.47681635563
1748,198159.2555903777
1361,148195.41114314346
1677,115905.96502537711
1406,160269.9235381361
2322,245306.13294100462
688,171517.39832526844
143,134051.49842889118
804,212691.9410894304
1214,161245.2204123926
2828,167125.65368662393
1999,188560.23168398827
2467,206399.89076960043
2665,174367.44494202136
1538,332775.24192225654
398,99581.52916963812
2822,141219.62176804946
2157,138246.02143856123
