id,saleprice
2658,41302624.47955104
2718,50578454.95784821
2414,29302564.595065664
1989,24893208.351723388
625,35783375.37406102
333,25343523.61524035
1327,24798107.456233755
858,29730120.001753222
95,41301536.57335683
1568,31928370.214263935
2482,32548852.250837095
1364,25213117.743723325
2584,33646763.8845076
818,64027463.96611053
2673,35056766.10370388
2089,22702590.20317029
1297,36316936.63974171
790,25693832.15016661
2616,40251890.4675876
720,33215128.94733759
222,25229928.551809426
557,26079903.792448748
1148,42394130.044332355
2766,21181849.34846609
534,32942835.236637544
1452,22045668.827605072
630,33750655.83526418
2648,32775812.813785255
125,26663458.181752995
1904,12119761.027257012
1670,25966180.928597514
756,29588253.46775345
717,59118789.69762114
1032,29557697.51700921
852,39226053.607739516
1731,30279679.294951558
2639,35442503.61029544
2071,19064609.674877338
1267,17779573.14669245
1851,37671657.54695638
567,30898539.98454368
2439,40362375.15468041
1898,34664459.42999474
647,27634902.062554576
2256,41001156.37328563
979,26370533.12817078
1444,40744592.258762546
2485,22620328.675558824
157,23511157.571849644
88,25443351.102373548
2003,25199006.05886806
186,45059478.38504832
1425,46281800.09204552
2695,29262760.04268361
738,23785875.08727941
395,26715846.03067079
1353,37156691.868031584
1878,32081404.211711958
390,30289679.4935318
1456,45864215.556875624
1103,55386544.850356534
1387,27188619.165671133
2070,25930707.14553678
1199,34946913.01312803
2479,36482916.58538733
501,55438034.6891205
2362,17091001.42488605
1718,38001849.31107875
2188,14553114.256242046
1483,24158386.96730376
2557,20369478.943035875
437,53019394.71181407
2224,33984893.61988889
1628,29223207.256829172
397,25706252.495880228
587,39632216.667877704
971,26147894.35876418
2611,27701959.74405063
1887,15435446.021454109
2399,47407700.587888755
2148,38460500.07328012
304,26686190.199510984
1997,30339205.45492121
2817,31588612.460815996
1431,36256191.15934307
427,61782010.94627843
263,23834151.92524231
598,30416590.66750238
2895,40558204.91311958
687,35310168.98327871
1822,23831519.02014189
2191,26196002.06065793
179,26864260.003150254
1009,33691821.07768131
2010,26789868.181498114
1991,33495207.809778962
1411,36007985.97054793
1721,43807081.982540704
1144,39574502.294041514
593,38071095.8249191
575,42737819.39644121
1249,38537467.704050764
1604,22343276.912324034
1064,64969000.28244268
1923,28847857.698585123
1988,17514435.853521675
2325,33274441.80492018
114,41885668.17141077
2700,48641692.35314455
217,39365675.279830866
343,36797428.88808397
386,44485124.771600515
2005,23817353.19978473
2908,20677178.583063133
1814,35924200.47305184
2446,72182214.01728253
208,38324809.99656419
1679,31516846.953233823
822,48006141.407388166
6,36254459.37250151
1781,56450192.5683768
2397,47077769.961574554
2340,44842063.761240445
1618,30419221.670030206
2843,46402094.31249967
1061,58241527.433054425
2786,20289296.46176735
1935,23132140.61652815
