id,saleprice,lot_area,garage_area,gr_liv_area,overall_qual,total_bsmt_sf,age,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,house_style_1.5Unf,house_style_1Story,house_style_2.5Fin,house_style_2.5Unf,house_style_2Story,house_style_SFoyer,house_style_SLvl,not_remodeled,no_pool,no_fireplace
109,130500,13517,475.0,1479,6,725.0,34,0,0,0,0,0,0,0,0,1,0,0,0,1,1
544,220000,11492,559.0,2122,7,913.0,13,0,0,0,0,0,0,0,0,1,0,0,0,1,0
153,109000,7922,246.0,1057,5,1057.0,57,0,0,0,0,0,1,0,0,0,0,0,0,1,1
318,174000,9802,400.0,1444,5,384.0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1
255,138500,14235,484.0,1445,6,676.0,110,0,0,0,0,0,0,0,0,0,0,0,0,1,1
138,190000,16492,578.0,1888,6,1517.0,44,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2827,140000,3675,525.0,1072,6,547.0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
145,142000,12160,531.0,1188,5,1188.0,51,0,0,0,0,0,1,0,0,0,0,0,1,1,1
1942,112500,15783,420.0,924,5,924.0,55,0,0,0,0,0,1,0,0,0,0,0,1,1,1
1956,135000,11606,504.0,2080,5,1040.0,38,0,0,0,0,0,0,0,0,1,0,0,1,1,0
1044,85400,1680,264.0,987,6,483.0,37,0,0,1,0,0,0,0,0,1,0,0,1,1,1
2752,183600,7488,632.0,1208,7,1208.0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
807,131000,26400,576.0,2016,5,0.0,129,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1177,200000,2645,480.0,1607,8,960.0,9,0,0,1,0,0,0,0,0,1,0,0,0,1,1
1480,193000,9627,610.0,1361,7,1351.0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
324,173500,10114,624.0,1430,5,1430.0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1311,98000,4571,513.0,1344,5,624.0,92,0,0,0,0,0,0,0,0,1,0,0,0,1,1
770,139000,8816,480.0,1121,5,1121.0,46,0,0,0,0,0,1,0,0,0,0,0,1,1,1
2063,143500,8197,528.0,1285,6,660.0,30,0,0,0,0,0,1,0,0,0,0,0,1,1,0
69,215200,8640,614.0,1547,7,756.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
2062,129000,8724,450.0,894,5,894.0,39,0,0,0,0,0,1,0,0,0,0,0,1,1,0
351,278000,5664,499.0,1659,8,1501.0,9,0,0,0,1,0,1,0,0,0,0,0,1,1,0
2393,344133,12867,575.0,2253,8,1209.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
12,185000,7980,420.0,1187,6,1168.0,18,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2339,145000,34650,572.0,1056,5,1056.0,51,1,0,0,0,0,1,0,0,0,0,0,1,1,1
624,187500,10573,530.0,1453,6,1453.0,48,0,0,0,0,0,1,0,0,0,0,0,1,1,0
86,138500,8450,336.0,894,5,894.0,45,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1534,198000,11700,240.0,1938,5,942.0,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2243,119600,8250,0.0,1991,5,957.0,112,1,0,0,0,0,0,0,0,1,0,0,0,1,1
1957,122900,8064,576.0,924,5,672.0,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0
380,278000,9600,542.0,2524,8,2524.0,28,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2860,230000,11435,400.0,1517,8,792.0,77,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2517,270000,9549,481.0,1494,8,1494.0,11,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1933,125000,10950,410.0,948,6,948.0,55,0,0,0,0,0,1,0,0,0,0,0,1,1,1
820,297000,10637,826.0,1718,8,1705.0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
675,113500,9000,384.0,1142,6,160.0,51,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2910,127000,2665,336.0,1475,5,757.0,29,0,0,0,1,0,0,0,0,1,0,0,1,1,0
21,190000,11751,546.0,1844,6,1844.0,33,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1873,175500,9600,528.0,1242,7,1242.0,34,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2125,146000,8428,384.0,990,5,990.0,13,0,0,0,0,0,1,0,0,0,0,0,1,1,1
1489,147500,9937,276.0,1256,5,1256.0,43,0,0,0,0,0,1,0,0,0,0,0,1,1,1
2383,465000,13891,850.0,2076,10,2076.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
983,165500,9101,602.0,1110,5,1097.0,31,0,0,0,0,0,0,0,0,0,1,0,1,1,0
1325,131500,12150,352.0,1795,5,1050.0,54,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1378,129500,11200,384.0,1040,5,1040.0,43,0,0,0,0,0,1,0,0,0,0,0,1,1,1
1537,257076,9670,786.0,1873,8,608.0,73,0,0,0,0,0,0,0,0,1,0,0,0,1,0
905,117000,10998,660.0,1604,5,984.0,68,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1532,149000,7200,270.0,1502,7,776.0,77,0,0,0,0,0,0,0,0,1,0,0,0,1,0
132,128000,9920,280.0,1063,5,1056.0,56,0,0,0,0,0,1,0,0,0,0,0,1,1,1
1078,155000,2448,474.0,1626,7,764.0,5,0,0,1,0,0,0,0,0,1,0,0,0,1,1
2511,166000,2998,440.0,1524,6,756.0,6,0,0,0,1,0,0,0,0,1,0,0,1,1,1
912,135000,7804,576.0,1981,4,1122.0,81,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2351,250000,16692,564.0,2784,7,1392.0,28,0,0,0,0,0,0,0,0,1,0,0,1,0,0
330,76000,1476,0.0,1092,4,546.0,40,0,0,1,0,0,0,0,0,1,0,0,1,1,1
2586,155000,10170,400.0,1575,6,216.0,55,0,0,0,0,0,1,0,0,0,0,0,1,1,0
224,158000,9364,299.0,1352,6,663.0,41,0,0,0,0,0,0,0,0,1,0,0,1,1,1
98,149500,2544,480.0,1200,7,600.0,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
2565,121000,9888,240.0,936,5,936.0,52,0,0,0,0,0,1,0,0,0,0,0,0,1,1
